year,reserve_kt,mineral,new_finds_pct
2010,7300.0,Cobalt,0.0
2011,7500.0,Cobalt,2.7
2012,7500.0,Cobalt,0.0
2013,7200.0,Cobalt,-4.0
2014,7200.0,Cobalt,0.0
2015,7100.0,Cobalt,-1.4
2016,7000.0,Cobalt,-1.4
2017,7100.0,Cobalt,1.4
2018,6900.0,Cobalt,-2.8
2019,7000.0,Cobalt,1.4
2020,7100.0,Cobalt,1.4
2021,7600.0,Cobalt,7.0
2022,8300.0,Cobalt,9.2
2010,13000.0,Lithium,0.0
2011,13000.0,Lithium,0.0
2012,13000.0,Lithium,0.0
2013,13000.0,Lithium,0.0
2014,13500.0,Lithium,3.8
2015,14000.0,Lithium,3.7
2016,14000.0,Lithium,0.0
2017,16000.0,Lithium,14.3
2018,14000.0,Lithium,-12.5
2019,17000.0,Lithium,21.4
2020,21000.0,Lithium,23.5
2021,22000.0,Lithium,4.8
2022,26000.0,Lithium,18.2
2000,49000.0,Nickel,0.0
2001,58000.0,Nickel,18.4
2002,61000.0,Nickel,5.2
2003,62000.0,Nickel,1.6
2004,62000.0,Nickel,0.0
2005,62000.0,Nickel,0.0
2006,64000.0,Nickel,3.2
2007,67000.0,Nickel,4.7
2008,70000.0,Nickel,4.5
2009,71000.0,Nickel,1.4
2010,76000.0,Nickel,7.0
2011,80000.0,Nickel,5.3
2012,75000.0,Nickel,-6.2
2013,74000.0,Nickel,-1.3
2014,81000.0,Nickel,9.5
2015,79000.0,Nickel,-2.5
2016,78000.0,Nickel,-1.3
2017,74000.0,Nickel,-5.1
2018,89000.0,Nickel,20.3
2019,89000.0,Nickel,0.0
2020,94000.0,Nickel,5.6
2021,95000.0,Nickel,1.1
2022,100000.0,Nickel,5.3
